"state.name","m.2.51."
"Alabama",0.0138665
"Alaska",0.0156
"Arizona",0.0169503333333333
"Arkansas",0.005
"California",0.00950233333333333
"Colorado",0.0139375
"Connecticut",0.011615
"Delaware",0.0069
"Florida",0.0252883333333333
"Georgia",0.00969814285714286
"Hawaii",0.010538
"Idaho",0.005308
"Illinois",0.0091938
"Indiana",0.00958416666666667
"Iowa",0.005143
"Kansas",0.0121475
"Kentucky",0.011067
"Louisiana",0.007617
"Maine",NA
"Maryland",0.0106625
"Massachusetts",0.00746166666666667
"Michigan",0.0058334
"Minnesota",0.009377
"Mississippi",0.005857
"Missouri",0.01125
"Montana",0.0025665
"Nebraska",0.003583
"Nevada",0.007003
"New Hampshire",NA
"New Jersey",0.009872
"New Mexico",0.008833
"New York",0.007788875
"North Carolina",0.006227
"North Dakota",0.008357
"Ohio",0.0048401
"Oklahoma",0.0111875
"Oregon",0.0040502
"Pennsylvania",0.00798407692307692
"Rhode Island",0.013063
"South Carolina",0.006752
"South Dakota",0.007857
"Tennessee",-0.001346
"Texas",0.00401714285714286
"Utah",0.00824466666666667
"Vermont",0.01
"Virginia",0.010692
"Washington",0.01183925
"West Virginia",0.0077045
"Wisconsin",0.0062635
"Wyoming",0.014143
