"state.name","m.2.51."
"Alabama",19.658275
"Alaska",59.175095
"Arizona",9.95347525
"Arkansas",9.250134
"California",13.6947680096154
"Colorado",16.1183519230769
"Connecticut",16.33018475
"Delaware",17.553989
"Florida",11.7330052307692
"Georgia",32.7183256666667
"Hawaii",NA
"Idaho",21.369076
"Illinois",20.6168481666667
"Indiana",11.7043927142857
"Iowa",7.75116575
"Kansas",6.8212366
"Kentucky",21.1350755
"Louisiana",9.76899281818182
"Maine",4.915946
"Maryland",19.7284206666667
"Massachusetts",12.1682018
"Michigan",15.040074
"Minnesota",3.8997296
"Mississippi",4.996859
"Missouri",13.9156757142857
"Montana",1.32059133333333
"Nebraska",NA
"Nevada",16.2615905
"New Hampshire",2.23514
"New Jersey",21.5830013
"New Mexico",7.674917875
"New York",15.8307662857143
"North Carolina",10.214842
"North Dakota",2.95469366666667
"Ohio",19.3791394285714
"Oklahoma",9.16044814285714
"Oregon",19.5673245
"Pennsylvania",12.3250522222222
"Rhode Island",18.3276165
"South Carolina",NA
"South Dakota",4.43415325
"Tennessee",19.606399
"Texas",9.51831740425532
"Utah",7.75582726666667
"Vermont",9.836606
"Virginia",11.5576855
"Washington",37.2290553333333
"West Virginia",NA
"Wisconsin",15.3096246666667
"Wyoming",3.23927041666667
