"state.name","m.2.51."
"Alabama",18.99604875
"Alaska",29.4201515
"Arizona",20.29052845
"Arkansas",12.2224925
"California",13.430258162037
"Colorado",16.4250432142857
"Connecticut",15.088410625
"Delaware",17.279105
"Florida",10.9106629285714
"Georgia",21.8612191666667
"Hawaii",5.58661766666667
"Idaho",16.4836935
"Illinois",20.22879125
"Indiana",12.1129647857143
"Iowa",8.48522525
"Kansas",8.5548781
"Kentucky",11.4889691428571
"Louisiana",10.7993837727273
"Maine",6.54619116666667
"Maryland",16.5809301666667
"Massachusetts",12.38057865
"Michigan",14.9607613125
"Minnesota",6.9219624
"Mississippi",7.996966
"Missouri",14.9368797857143
"Montana",1.87811291666667
"Nebraska",NA
"Nevada",20.5455566875
"New Hampshire",4.2870825
"New Jersey",18.8886173181818
"New Mexico",10.37392795
"New York",17.5424352857143
"North Carolina",10.6437954166667
"North Dakota",4.20917322222222
"Ohio",16.5214121428571
"Oklahoma",11.5999660833333
"Oregon",15.78311975
"Pennsylvania",12.5881558055556
"Rhode Island",12.627497375
"South Carolina",8.1243618
"South Dakota",5.931141375
"Tennessee",13.5405614
"Texas",10.7628907659574
"Utah",9.39711096666667
"Vermont",11.034316
"Virginia",13.4660278076923
"Washington",18.86409175
"West Virginia",NA
"Wisconsin",13.660952
"Wyoming",5.21717806
