"state.name","m.2.51."
"Alabama",0.0234445
"Alaska",0.020643
"Arizona",0.234952333333333
"Arkansas",0.017875
"California",0.0207900666666667
"Colorado",0.0177265
"Connecticut",0.023071
"Delaware",0.019455
"Florida",0.021066
"Georgia",0.013827
"Hawaii",0.011727
"Idaho",0.035063
"Illinois",0.0234066
"Indiana",0.0159986666666667
"Iowa",0.016067
"Kansas",0.0106485
"Kentucky",0.018909
"Louisiana",0.0243
"Maine",NA
"Maryland",0.0190135
"Massachusetts",0.0229836666666667
"Michigan",0.0157836
"Minnesota",0.0189165
"Mississippi",0.029308
"Missouri",0.023247
"Montana",0.008
"Nebraska",0.020733
"Nevada",0.0240075
"New Hampshire",NA
"New Jersey",0.028847
"New Mexico",0.018526
"New York",0.016931125
"North Carolina",0.014811
"North Dakota",0.01825
"Ohio",0.0202279
"Oklahoma",0.018103
"Oregon",0.0033616
"Pennsylvania",0.0214490769230769
"Rhode Island",0.010286
"South Carolina",0.0260525
"South Dakota",0.008692
"Tennessee",0.017509
"Texas",0.00998671428571428
"Utah",0.010419
"Vermont",0.017167
"Virginia",0.026467
"Washington",0.02623825
"West Virginia",0.0134085
"Wisconsin",0.01696525
"Wyoming",0.006083
