"state.name","m.2.51."
"Alabama",0.02321
"Alaska",0.001
"Arizona",0.19076
"Arkansas",0.014615
"California",0.03629
"Colorado",0.047089
"Connecticut",3e-04
"Delaware",-0.0022
"Florida",0.0495506666666667
"Georgia",0.0135258571428571
"Hawaii",0.035
"Idaho",0.0125
"Illinois",0.0132198
"Indiana",0.0124543333333333
"Iowa",0.010231
"Kansas",0.0176905
"Kentucky",0.0154
"Louisiana",0.02565
"Maine",NA
"Maryland",0.004417
"Massachusetts",0.00634433333333333
"Michigan",0.0123474
"Minnesota",0.0038325
"Mississippi",0.0071
"Missouri",0.005803
"Montana",0.0291135
"Nebraska",0.0081
"Nevada",0.053741
"New Hampshire",NA
"New Jersey",0.043324
"New Mexico",0.032722
"New York",0.0055445
"North Carolina",0.006354
"North Dakota",0.013714
"Ohio",0.0092213
"Oklahoma",0.0149585
"Oregon",0.0075572
"Pennsylvania",0.00492884615384615
"Rhode Island",-0.001455
"South Carolina",0.0074165
"South Dakota",0.005917
"Tennessee",0.0030555
"Texas",0.071051
"Utah",0.0203986666666667
"Vermont",0.011333
"Virginia",0.014667
"Washington",0.0156575
"West Virginia",0.0046165
"Wisconsin",9.10000000000002e-05
"Wyoming",0.014583
