"state.name","m.2.51."
"Alabama",0.134025
"Alaska",0.074895
"Arizona",0.1229
"Arkansas",0.05215
"California",0.101346666666667
"Colorado",0.0979165
"Connecticut",0.053389
"Delaware",0.0872
"Florida",0.042653
"Georgia",0.0530142857142857
"Hawaii",0.02825
"Idaho",0.046947
"Illinois",0.071441
"Indiana",0.0919713333333333
"Iowa",0.023684
"Kansas",0.0550335
"Kentucky",0.052647
"Louisiana",0.0504515
"Maine",NA
"Maryland",0.0476
"Massachusetts",0.0305666666666667
"Michigan",0.1447634
"Minnesota",0.029188
"Mississippi",0.04725
"Missouri",0.0934805
"Montana",0.029816
"Nebraska",0.021375
"Nevada",0.1141065
"New Hampshire",NA
"New Jersey",0.1291835
"New Mexico",0.05595
"New York",0.05604475
"North Carolina",0.0382166666666667
"North Dakota",0.03095
"Ohio",0.2505045
"Oklahoma",0.04
"Oregon",0.0187222
"Pennsylvania",0.0569691538461538
"Rhode Island",0.02875
"South Carolina",0.0316
"South Dakota",0.019105
"Tennessee",0.035739
"Texas",0.0914461428571429
"Utah",0.0835086666666667
"Vermont",0.027786
"Virginia",0.043688
"Washington",0.0982
"West Virginia",0.0229065
"Wisconsin",0.0292
"Wyoming",0.011063
