"state.name","m.2.51."
"Alabama",0.0133065
"Alaska",NA
"Arizona",0.002905
"Arkansas",0.0007255
"California",0.0019445
"Colorado",NA
"Connecticut",0.0027795
"Delaware",NA
"Florida",0.001429
"Georgia",NA
"Hawaii",NA
"Idaho",0.000862
"Illinois",NA
"Indiana",NA
"Iowa",NA
"Kansas",NA
"Kentucky",0.003645
"Louisiana",NA
"Maine",NA
"Maryland",0.00113
"Massachusetts",0.0031125
"Michigan",NA
"Minnesota",NA
"Mississippi",0.0021575
"Missouri",0.004333
"Montana",NA
"Nebraska",NA
"Nevada",NA
"New Hampshire",0.003724
"New Jersey",0.002587
"New Mexico",NA
"New York",NA
"North Carolina",0.001214
"North Dakota",NA
"Ohio",NA
"Oklahoma",NA
"Oregon",0.001301
"Pennsylvania",NA
"Rhode Island",0.005129
"South Carolina",NA
"South Dakota",NA
"Tennessee",NA
"Texas",NA
"Utah",NA
"Vermont",NA
"Virginia",NA
"Washington",0.002388
"West Virginia",NA
"Wisconsin",NA
"Wyoming",NA
