"state.name","m.2.51."
"Alabama",0.00305
"Alaska",0.001563
"Arizona",0.006859
"Arkansas",0.0036
"California",0.0042394
"Colorado",0.001453
"Connecticut",0.002375
"Delaware",0.005357
"Florida",0.042996
"Georgia",0.00323157142857143
"Hawaii",0.000714
"Idaho",0.001706
"Illinois",0.00408
"Indiana",0.00279
"Iowa",0.002833
"Kansas",0.00165
"Kentucky",0.004625
"Louisiana",0.003996
"Maine",NA
"Maryland",0.003316
"Massachusetts",0.00183666666666667
"Michigan",0.0032628
"Minnesota",0.004117
"Mississippi",0.002714
"Missouri",0.0025085
"Montana",0.0003335
"Nebraska",0.001357
"Nevada",0.001813
"New Hampshire",NA
"New Jersey",0.00372266666666667
"New Mexico",0.001563
"New York",0.0021395
"North Carolina",0.00207933333333333
"North Dakota",0.001158
"Ohio",0.0035106
"Oklahoma",0.0016665
"Oregon",0.0011918
"Pennsylvania",0.00552538461538462
"Rhode Island",0.003235
"South Carolina",0.0031835
"South Dakota",0.001
"Tennessee",0.0023375
"Texas",0.00307428571428571
"Utah",0.006083
"Vermont",0.001714
"Virginia",0.001938
"Washington",0.001981
"West Virginia",0.0017145
"Wisconsin",0.0027
"Wyoming",0.000867
