"state.name","m.2.51."
"Alabama",0.00375
"Alaska",0.005
"Arizona",0.00558866666666667
"Arkansas",0.004133
"California",0.00346733333333333
"Colorado",0.0020945
"Connecticut",0.005083
"Delaware",0.0063
"Florida",0.002774
"Georgia",0.00363314285714286
"Hawaii",0.003
"Idaho",0.004563
"Illinois",0.0050688
"Indiana",0.00343033333333333
"Iowa",0.00325
"Kansas",0.003026
"Kentucky",0.002583
"Louisiana",0.002714
"Maine",NA
"Maryland",0.00499
"Massachusetts",0.00208033333333333
"Michigan",0.0029864
"Minnesota",0.0043645
"Mississippi",0.000571
"Missouri",0.0064065
"Montana",0.0004615
"Nebraska",0.003923
"Nevada",0.0033285
"New Hampshire",NA
"New Jersey",0.0039965
"New Mexico",0.004438
"New York",0.00422925
"North Carolina",0.002908
"North Dakota",0.005533
"Ohio",0.0011913
"Oklahoma",0.002357
"Oregon",0.00335
"Pennsylvania",0.00451807692307692
"Rhode Island",0.005929
"South Carolina",0.006125
"South Dakota",0.001882
"Tennessee",0.00415
"Texas",0.00327642857142857
"Utah",0.00356733333333333
"Vermont",0.003167
"Virginia",0.002833
"Washington",0.001847
"West Virginia",0.0032
"Wisconsin",0.0035475
"Wyoming",0.001818
