"state.name","m.2.51."
"Alabama",6.905508
"Alaska",38.181606
"Arizona",2.6329686
"Arkansas",3.14654233333333
"California",4.73739400909091
"Colorado",7.13747693333333
"Connecticut",6.53272125
"Delaware",5.513676
"Florida",4.19252175
"Georgia",18.164284
"Hawaii",0.938581
"Idaho",7.900837
"Illinois",5.8534095
"Indiana",3.782075625
"Iowa",2.1162402
"Kansas",2.253248
"Kentucky",2.87042411111111
"Louisiana",3.27591907692308
"Maine",0.9203656
"Maryland",5.3901283
"Massachusetts",3.44888215384615
"Michigan",4.8696621
"Minnesota",1.4120195
"Mississippi",1.243298
"Missouri",4.230256375
"Montana",0.335711285714286
"Nebraska",1.209928
"Nevada",6.98294425
"New Hampshire",0.112737666666667
"New Jersey",8.13567427272727
"New Mexico",1.88490644444444
"New York",3.66457790909091
"North Carolina",2.8211171
"North Dakota",0.594486545454545
"Ohio",7.239594
"Oklahoma",2.503934125
"Oregon",8.6941885
"Pennsylvania",4.41115625
"Rhode Island",7.9203508
"South Carolina",NA
"South Dakota",1.6001354
"Tennessee",5.0756496
"Texas",3.25590642307692
"Utah",2.6845979375
"Vermont",2.06862566666667
"Virginia",3.50309523076923
"Washington",11.5174835
"West Virginia",NA
"Wisconsin",3.33526366666667
"Wyoming",0.720176538461539
