"state.name","m.2.51."
"Alabama",8.47883003773585
"Alaska",5.85014004444444
"Arizona",7.56007122758621
"Arkansas",8.51613225
"California",8.34403519589257
"Colorado",6.0639564137931
"Connecticut",6.57180413095238
"Delaware",7.57347845454545
"Florida",6.88346903389831
"Georgia",8.62072307627119
"Hawaii",7.70331266153846
"Idaho",6.94356307142857
"Illinois",8.46800133678756
"Indiana",8.33940594809689
"Iowa",7.58275765384615
"Kansas",6.73059342857143
"Kentucky",7.7577598317757
"Louisiana",8.24165698630137
"Maine",5.36487135632184
"Maryland",7.65118658715596
"Massachusetts",5.84931524817518
"Michigan",7.78023572857143
"Minnesota",6.17933551234568
"Mississippi",7.9317327
"Missouri",7.99919048192771
"Montana",6.24987636363636
"Nebraska",6.81486667307692
"Nevada",6.97038218181818
"New Hampshire",4.88699057377049
"New Jersey",8.28354377099237
"New Mexico",6.8380905375
"New York",6.628344544
"North Carolina",7.81672430065359
"North Dakota",3.70928556923077
"Ohio",8.33513938643068
"Oklahoma",7.90644344871795
"Oregon",5.8755586875
"Pennsylvania",9.22440491693291
"Rhode Island",6.42192088888889
"South Carolina",8.1649216056338
"South Dakota",5.32880471794872
"Tennessee",7.66662135714286
"Texas",8.39895706870229
"Utah",6.66858280769231
"Vermont",5.1915836875
"Virginia",7.22641592523364
"Washington",6.21888264492754
"West Virginia",8.1461258
"Wisconsin",8.31964795833333
"Wyoming",4.18586310778443
