"","County.Code","Arithmetic.Mean"
"1967","00019",5.48
"1968","00019",5.48
"1969","00019",4.258672
"1970","00019",4.212639
"1971","00019",4.212639
"1972","00019",4.212639
"1973","00019",4.212639
"2087","00021",9.098333
"2088","00021",9.098333
"2089","00021",9.098333
"2090","00021",9.098333
"2091","00021",9.570475
"2092","00021",9.521143
"2093","00021",9.521143
"2094","00021",9.521143
"2095","00021",9.521143
"2104","00021",5.606667
"2105","00021",5.606667
"2106","00021",5.606667
"2107","00021",5.606667
"2137","00021",13.283636
"2138","00021",13.283636
"2139","00021",13.283636
"2140","00021",13.283636
"2141","00021",12.544828
"2142","00021",12.544828
"2143","00021",12.544828
"2144","00021",12.544828
"2145","00021",12.102699
"2146","00021",12.097605
"2147","00021",12.097605
"2148","00021",12.097605
"2149","00021",12.097605
"2339","00023",9.640909
"2340","00023",9.640909
"2341","00023",9.640909
"2342","00023",9.640909
"2343","00023",9.254791
"2344","00023",9.237165
"2345","00023",9.237165
"2346","00023",9.237165
"2347","00023",9.237165
"2362","00027",8.569646
"2363","00027",8.44186
"2364","00027",8.44186
"2365","00027",8.749421
"2366","00027",8.44186
"2372","00001",8.107692
"2373","00001",8.107692
"2374","00001",8.107692
"2375","00001",8.107692
"2381","00003",7.976136
"2382","00003",7.976136
"2383","00003",7.976136
"2384","00003",7.976136
"2402","00035",8.160674
"2403","00035",8.160674
"2404","00035",8.160674
"2405","00035",8.160674
"2418","00051",8.224719
"2419","00051",8.224719
"2420","00051",8.224719
"2421","00051",8.224719
"2422","00051",9.35
"2423","00051",9.35
"2424","00051",9.35
"2425","00051",9.35
"2431","00067",7.322353
"2432","00067",7.322353
"2433","00067",7.322353
"2434","00067",7.322353
"2444","00113",8.218889
"2445","00113",8.218889
"2446","00113",8.218889
"2447","00113",8.218889
"2489","00119",9.067518
"2490","00119",9.067518
"2491","00119",9.067518
"2492","00119",9.067518
"2493","00119",9.845455
"2494","00119",9.845455
"2495","00119",9.845455
"2496","00119",9.845455
"2573","00119",9.107609
"2574","00119",9.107609
"2575","00119",9.107609
"2576","00119",9.107609
"2589","00139",8.658696
"2590","00139",8.658696
"2591","00139",8.658696
"2592","00139",8.658696
"2604","00143",8.153846
"2605","00143",8.153846
"2606","00143",8.153846
"2607","00143",8.153846
"2701","00001",7.339016
"2702","00001",7.280537
"2703","00001",7.280537
"2704","00001",7.280537
"2705","00001",7.280537
"2738","00001",5.787474
"2739","00001",5.735548
"2740","00001",5.735548
"2741","00001",5.735548
"2742","00001",5.735548
"2781","00001",8.422131
"2782","00001",8.424444
"2783","00001",8.424444
"2784","00001",8.424444
"2785","00001",8.424444
"2815","00001",8.77549
"2816","00001",8.72392
"2817","00001",8.72392
"2818","00001",8.72392
"2819","00001",8.72392
"2853","00001",6.960863
"2854","00001",6.925439
"2855","00001",6.925439
"2856","00001",6.925439
"2857","00001",6.925439
"3002","00007",6.494196
"3003","00007",6.494196
"3004","00007",6.494196
"3005","00007",6.494196
"3079","00009",7.532225
"3080","00009",7.484298
"3081","00009",7.484298
"3082","00009",7.484298
"3083","00009",7.484298
"3084","00011",6.705494
"3085","00011",6.705494
"3086","00011",7.112717
"3087","00011",7.112717
"3088","00011",7.112717
"3089","00011",7.112717
"3113","00011",6.065
"3114","00011",6.065
"3115","00011",6.065
"3116","00011",6.065
"3158","00013",5.087938
"3159","00013",5.035088
"3160","00013",5.035088
"3161","00013",5.035088
"3162","00013",5.035088
"3298","00013",8.03817
"3299","00013",7.996029
"3300","00013",7.996029
"3301","00013",7.996029
"3302","00013",7.996029
"3497","00019",10.609244
"3498","00019",10.609244
"3499","00019",10.609244
"3500","00019",10.609244
"3501","00019",11.33
"3502","00019",11.33
"3503","00019",11.33
"3504","00019",11.33
"3505","00019",13.425171
"3506","00019",13.377193
"3507","00019",13.377193
"3508","00019",13.377193
"3509","00019",13.377193
"3510","00019",14.483543
"3511","00019",14.422807
"3512","00019",14.422807
"3513","00019",14.422807
"3514","00019",14.422807
"3603","00019",7.881826
"3604","00019",7.881826
"3605","00019",7.822545
"3606","00019",7.822545
"3607","00019",7.822545
"3608","00019",7.822545
"3629","00019",7.113346
"3630","00019",7.137234
"3631","00019",7.137234
"3632","00019",7.137234
"3633","00019",7.137234
"3806","00019",10.045122
"3807","00019",10.045122
"3808","00019",10.045122
"3809","00019",10.045122
"3810","00019",11.714981
"3811","00019",11.749383
"3812","00019",11.749383
"3813","00019",11.749383
"3814","00019",11.749383
"3824","00019",11.1
"3825","00019",11.1
"3826","00019",11.1
"3827","00019",11.1
"3859","00023",5.894915
"3860","00023",5.894915
"3861","00023",5.894915
"3862","00023",5.894915
"3878","00023",3.72069
"3879","00023",3.72069
"3880","00023",3.72069
"3881","00023",3.72069
"3969","00025",12.184889
"3970","00025",12.184889
"3971","00025",12.184889
"3972","00025",12.184889
"3973","00025",11.328571
"3974","00025",11.328571
"3975","00025",11.328571
"3976","00025",11.328571
"4043","00025",11.493478
"4044","00025",11.493478
"4045","00025",11.493478
"4046","00025",11.493478
"4068","00025",9.56087
"4069","00025",9.56087
"4070","00025",9.56087
"4071","00025",9.56087
"4122","00027",4.189648
"4123","00027",4.155474
"4124","00027",4.155474
"4125","00027",4.155474
"4126","00027",4.155474
"4223","00027",5.258824
"4224","00027",5.258824
"4225","00027",5.258824
"4226","00027",5.258824
"4227","00027",7.031346
"4228","00027",6.982721
"4229","00027",6.982721
"4230","00027",6.982721
"4231","00027",6.982721
"4308","00029",12.564557
"4309","00029",12.564557
"4310","00029",12.564557
"4311","00029",12.564557
"4322","00029",7.65008
"4323","00029",7.531418
"4324","00029",7.531418
"4325","00029",7.531418
"4326","00029",7.531418
"4425","00029",11.923113
"4426","00029",11.923113
"4427","00029",11.923113
"4428","00029",11.923113
"4429","00029",17.524
"4430","00029",17.524
"4431","00029",17.524
"4432","00029",17.524
"4542","00029",5.482051
"4543","00029",5.482051
"4544","00029",5.482051
"4545","00029",5.482051
"4555","00029",13.603333
"4556","00029",13.603333
"4557","00029",13.603333
"4558","00029",13.603333
"4761","00031",12.816049
"4762","00031",12.816049
"4763","00031",12.816049
"4764","00031",12.816049
"4796","00031",13.41812
"4797","00031",13.392788
"4798","00031",13.392788
"4799","00031",13.392788
"4800","00031",13.392788
"4818","00033",3.271739
"4819","00033",3.271739
"4820","00033",3.271739
"4821","00033",3.271739
"4951","00037",9.27541
"4952","00037",9.27541
"4953","00037",9.27541
"4954","00037",9.27541
"5158","00037",11.833721
"5159","00037",11.833721
"5160","00037",11.833721
"5161","00037",11.833721
"5162","00037",11.582143
"5163","00037",11.582143
"5164","00037",11.582143
"5165","00037",11.582143
"5248","00037",8.492857
"5249","00037",8.492857
"5250","00037",8.492857
"5251","00037",8.492857
"5280","00037",10.408621
"5281","00037",10.408621
"5282","00037",10.408621
"5283","00037",10.408621
"5373","00037",11.209836
"5374","00037",11.209836
"5375","00037",11.209836
"5376","00037",11.209836
"5406","00037",9.062712
"5407","00037",9.062712
"5408","00037",9.062712
"5409","00037",9.062712
"5419","00037",10.097714
"5420","00037",10.097714
"5421","00037",10.097714
"5422","00037",10.097714
"5437","00037",9.439773
"5438","00037",9.439773
"5439","00037",9.439773
"5440","00037",9.439773
"5478","00037",11.705263
"5479","00037",11.705263
"5480","00037",11.705263
"5481","00037",11.705263
"5757","00039",10.076087
"5758","00039",10.076087
"5759","00039",10.076087
"5760","00039",10.076087
"5761","00039",11.278091
"5762","00039",11.240678
"5763","00039",11.240678
"5764","00039",11.240678
"5765","00039",11.240678
"5800","00041",6.262504
"5801","00041",6.204331
"5802","00041",6.204331
"5803","00041",6.204331
"5804","00041",6.204331
"5848","00045",6.073449
"5849","00045",6.023596
"5850","00045",6.023596
"5851","00045",6.023596
"5852","00045",6.023596
"5860","00045",4.722678
"5861","00045",4.56519
"5862","00045",4.56519
"5863","00045",4.56519
"5864","00045",4.56519
"5878","00047",11.608247
"5879","00047",11.570492
"5880","00047",11.570492
"5881","00047",11.570492
"5882","00047",11.570492
"5894","00047",9.51125
"5895","00047",9.51125
"5896","00047",9.51125
"5897","00047",9.51125
"5921","00053",7.819588
"5922","00053",7.819588
"5923","00053",5.499022
"5924","00053",7.7603
"5925","00053",7.7603
"5926","00053",5.441797
"5927","00053",7.7603
"5928","00053",7.7603
"5929","00053",5.441797
"5930","00053",5.441797
"5931","00053",7.7603
"5932","00053",7.7603
"5933","00053",5.441797
"5934","00053",7.7603
"5935","00053",7.7603
"5945","00053",5.810881
"5946","00053",5.768248
"5947","00053",5.768248
"5948","00053",5.768248
"5949","00053",5.768248
"5965","00053",5.0125
"5966","00053",5.0125
"5967","00053",5.0125
"5968","00053",5.0125
"5969","00053",5.548432
"5970","00053",5.497753
"5971","00053",5.497753
"5972","00053",5.497753
"5973","00053",5.497753
"6009","00055",7.590494
"6010","00055",7.591638
"6011","00055",7.591638
"6012","00055",7.591638
"6013","00055",7.591638
"6027","00057",4.810256
"6028","00057",4.810256
"6029","00057",4.810256
"6030","00057",4.810256
"6042","00057",6.420988
"6043","00057",6.420988
"6044","00057",6.420988
"6045","00057",6.420988
"6075","00059",8.863842
"6076","00059",8.863842
"6077","00059",8.863842
"6078","00059",8.863842
"6129","00059",6.705172
"6130","00059",6.705172
"6131","00059",6.705172
"6132","00059",6.705172
"6155","00061",6.16329
"6156","00061",6.16329
"6157","00061",5.003546
"6158","00061",6.123358
"6159","00061",5.078467
"6160","00061",6.123358
"6161","00061",6.123358
"6162","00061",6.123358
"6163","00061",5.078467
"6164","00061",6.123358
"6165","00061",5.078467
"6166","00061",6.123358
"6167","00061",6.123358
"6168","00061",6.123358
"6169","00061",5.078467
"6247","00061",6.2325
"6248","00061",6.2325
"6249","00061",6.2325
"6250","00061",6.2325
"6251","00061",6.7
"6252","00061",6.7
"6253","00061",6.7
"6254","00061",6.7
"6301","00063",7.539076
"6302","00063",7.539076
"6303","00063",7.539076
"6304","00063",7.539076
"6333","00063",12.906098
"6334","00063",12.906098
"6335","00063",12.906098
"6336","00063",12.906098
"6337","00063",11.357143
"6338","00063",11.357143
"6339","00063",11.357143
"6340","00063",11.357143
"6414","00065",9.890117
"6415","00065",9.807937
"6416","00065",9.807937
"6417","00065",9.807937
"6418","00065",9.807937
"6419","00065",6.431429
"6420","00065",6.431429
"6421","00065",6.431429
"6422","00065",6.431429
"6457","00065",10.67066
"6458","00065",10.67066
"6459","00065",10.622082
"6460","00065",10.622082
"6461","00065",10.622082
"6462","00065",10.622082
"6463","00065",6.477778
"6464","00065",6.477778
"6465","00065",6.477778
"6466","00065",6.477778
"6500","00065",7.255357
"6501","00065",7.255357
"6502","00065",7.255357
"6503","00065",7.255357
"6540","00065",5.237931
"6541","00065",5.237931
"6542","00065",5.237931
"6543","00065",5.237931
"6749","00065",12.15625
"6750","00065",12.15625
"6751","00065",12.15625
"6752","00065",12.15625
"6753","00065",11.016129
"6754","00065",11.016129
"6755","00065",11.016129
"6756","00065",11.016129
"6912","00065",13.651462
"6913","00065",13.651462
"6914","00065",13.651462
"6915","00065",13.651462
"6916","00065",12.290323
"6917","00065",12.290323
"6918","00065",12.290323
"6919","00065",12.290323
"7017","00067",7.030085
"7018","00067",7.030085
"7019","00067",7.030085
"7020","00067",7.030085
"7021","00067",7.995
"7022","00067",7.995
"7023","00067",7.995
"7024","00067",7.995
"7122","00067",6.3025
"7123","00067",6.3025
"7124","00067",6.3025
"7125","00067",6.3025
"7203","00067",5.567778
"7204","00067",5.505825
"7205","00067",5.505825
"7206","00067",5.505825
"7207","00067",5.505825
"7208","00067",3.678608
"7209","00067",3.620792
"7210","00067",3.620792
"7211","00067",3.620792
"7212","00067",3.620792
"7258","00067",6.573171
"7259","00067",6.573171
"7260","00067",6.573171
"7261","00067",6.573171
"7280","00069",4.648296
"7281","00069",4.618939
"7282","00069",4.618939
"7283","00069",4.618939
"7284","00069",4.618939
"7362","00071",14.394186
"7363","00071",14.394186
"7364","00071",14.394186
"7365","00071",14.394186
